company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,255.5,32000.0,Petrol,7
Volkswagen,Taos,1.5L I4 Turbo,158.0,24000.0,Petrol,5
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,98.5,18000.0,Petrol,4
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,132.5,35000.0,Petrol,4
Volkswagen,Passat CC,2.0L I4 Turbo,240.0,40000.0,Petrol,5
Volkswagen,Transporter,2.0L I4 Turbo Diesel,153.0,35000.0,Diesel,9
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,231.0,45000.0,Diesel,5
Volkswagen,ID.2,Electric,170.0,25000.0,Electric,5
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,90.0,20000.0,Diesel,5
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),204.0,40000.0,Hybrid,5
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,421.0,70000.0,Petrol,5
Volkswagen,Beetle Dune,1.4L I4 Turbo,150.0,30000.0,Petrol,4
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,215.0,28000.0,Petrol,5
Volkswagen,ID.4 Pro S,Electric,201.0,45000.0,Electric,5
Volkswagen,Golf Country,1.8L I4 Gas,98.0,25000.0,Petrol,5
Volkswagen,Jetta GLI,2.0L I4 Turbo,228.0,31000.0,Petrol,5
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,235.0,50000.0,Petrol,5
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,132.5,27000.0,Petrol,5
Volkswagen,Golf R32,3.2L VR6,240.0,40000.0,Petrol,5
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,180.0,26000.0,Petrol,5
Volkswagen,Scirocco 16V,1.8L I4 Gas,137.0,35000.0,Petrol,4
Volkswagen,Polo BlueMotion,1.2L Diesel I3,85.0,20000.0,Diesel,5
Volkswagen,Golf Variant GTD,2.0L Diesel I4,184.0,38000.0,Diesel,5
